Flux,Time,Variance
-2.2327,0.0,1.0
-0.9378,0.0204334994196,1.0
-1.71679,0.0408669988392,1.0
-1.68967,0.0613004982588,1.0
-1.2277,0.0817339976784,1.0
-2.65278,0.102167497098,1.0
-0.570153,0.122600996518,1.0
-0.913089,0.143034495937,1.0
-1.46787,0.163467995357,1.0
-3.7741,0.183901494776,1.0
-2.21703,0.204334994196,1.0
-0.362222,0.224768493616,1.0
-1.24337,0.245201993035,1.0
-1.34402,0.265635492455,1.0
0.191056,0.286068991874,1.0
-2.22426,0.306502491294,1.0
-1.10023,0.326935990714,1.0
-1.82708,0.347369490133,1.0
-1.32172,0.367802989553,1.0
-1.57003,0.388236488972,1.0
-1.94461,0.408669988392,1.0
-2.24234,0.429103487812,1.0
-0.899528,0.449536987231,1.0
-2.80134,0.469970486651,1.0
-2.20558,0.49040398607,1.0
-1.87831,0.51083748549,1.0
-0.998069,0.53127098491,1.0
-0.101253,0.551704484329,1.0
-0.578591,0.572137983749,1.0
-0.776578,0.592571483168,1.0
-0.182618,0.613004982588,1.0
-2.76609,0.633438482008,1.0
-1.6294,0.653871981427,1.0
-1.21203,0.674305480847,1.0
-1.12765,0.694738980266,1.0
-1.55105,0.715172479686,1.0
-0.976674,0.735605979106,1.0
-0.600589,0.756039478525,1.0
-1.68545,0.776472977945,1.0
-2.20919,0.796906477364,1.0
-1.28827,0.817339976784,1.0
-2.51205,0.837773476204,1.0
-0.66779,0.858206975623,1.0
-0.671407,0.878640475043,1.0
-1.01585,0.899073974462,1.0
-1.29189,0.919507473882,1.0
-1.20992,0.939940973302,1.0
-1.12494,0.960374472721,1.0
-1.2286,0.980807972141,1.0
-1.53086,1.00124147156,1.0
-1.50343,1.02167497098,1.0
-1.04056,1.0421084704,1.0
-0.702747,1.06254196982,1.0
-0.949853,1.08297546924,1.0
-0.466489,1.10340896866,1.0
1.36572,1.12384246808,1.0
-0.800384,1.1442759675,1.0
-1.21414,1.16470946692,1.0
-0.967633,1.18514296634,1.0
-0.110897,1.20557646576,1.0
-1.54653,1.22600996518,1.0
-0.10728,1.2464434646,1.0
-1.22619,1.26687696402,1.0
-0.114211,1.28731046343,1.0
-1.04418,1.30774396285,1.0
-2.56358,1.32817746227,1.0
-0.684063,1.34861096169,1.0
-0.409233,1.36904446111,1.0
0.884159,1.38947796053,1.0
-1.74963,1.40991145995,1.0
-0.187741,1.43034495937,1.0
0.169961,1.45077845879,1.0
-1.64567,1.47121195821,1.0
1.20118,1.49164545763,1.0
-0.239874,1.51207895705,1.0
-1.11138,1.53251245647,1.0
-0.644587,1.55294595589,1.0
0.162126,1.57337945531,1.0
-1.06015,1.59381295473,1.0
-1.01675,1.61424645415,1.0
-0.854928,1.63467995357,1.0
0.210342,1.65511345299,1.0
-0.657544,1.67554695241,1.0
-0.0572564,1.69598045183,1.0
0.238066,1.71641395125,1.0
-1.03182,1.73684745067,1.0
0.461667,1.75728095009,1.0
-0.266694,1.77771444951,1.0
-0.370358,1.79814794892,1.0
-1.43503,1.81858144834,1.0
-0.0901035,1.83901494776,1.0
-0.397179,1.85944844718,1.0
2.1209,1.8798819466,1.0
-1.17014,1.90031544602,1.0
0.787727,1.92074894544,1.0
0.483967,1.94118244486,1.0
1.89489,1.96161594428,1.0
0.336909,1.9820494437,1.0
-0.251928,2.00248294312,1.0
-0.14073,2.02291644254,1.0
0.500843,2.04334994196,1.0
-0.306472,2.06378344138,1.0
-0.918212,2.0842169408,1.0
-0.123553,2.10465044022,1.0
0.244093,2.12508393964,1.0
1.44226,2.14551743906,1.0
-1.82256,2.16595093848,1.0
-2.18719,2.1863844379,1.0
0.768441,2.20681793732,1.0
